row_id,study,reference,arm_label,role,ccb_drug,ccb_mg,arb_drug,arb_mg,duration_wk,n,sbp_change_mean_mmHg,sbp_change_sd,sbp_change_se,dbp_change_mean_mmHg,dbp_change_sd,dbp_change_se,baseline_sbp_mmHg,baseline_dbp_mmHg,age_mean,male_pct,source_table,extractor,extract_date,notes
1,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 0 / valsartan 0,"Placebo (0,0)",amlodipine,0,valsartan,0,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
2,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 0 / valsartan 40,ARB monotherapy,amlodipine,0,valsartan,40,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
3,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 0 / valsartan 80,ARB monotherapy,amlodipine,0,valsartan,80,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
4,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 0 / valsartan 160,ARB monotherapy,amlodipine,0,valsartan,160,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
5,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 0 / valsartan 320,ARB monotherapy,amlodipine,0,valsartan,320,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
6,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 2.5 / valsartan 0,CCB monotherapy,amlodipine,2.5,valsartan,0,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
7,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 2.5 / valsartan 40,Combination (dose pair),amlodipine,2.5,valsartan,40,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
8,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 2.5 / valsartan 80,Combination (dose pair),amlodipine,2.5,valsartan,80,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
9,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 2.5 / valsartan 160,Combination (dose pair),amlodipine,2.5,valsartan,160,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
10,Philipp 2007 Study 1,Philipp T et al. Clin Ther 2007;29(4):563-580 (PMID 17617280),amlodipine 2.5 / valsartan 320,Combination (dose pair),amlodipine,2.5,valsartan,320,8,,,,,,,,,,,,,,,Per-arm LS mean change from baseline in seated SBP/DBP at week 8.
